provider_code,code,value,code_name,friendly_name,is_popular
African,CUI,78,African,African,True
American,CUI,1,American,American,True
Argentinian,CUI,33,Argentinean,Argentinean,False
Asian,CUI,6,Asian,Asian,True
Australian,CUI,82,Australian,Australian,False
Austrian,CUI,66,Austrian,Austrian,False
Belgian,CUI,79,Belgian,Belgian,False
Brazilian,CUI,34,Brazilian,Brazilian,False
British,CUI,30059,,British,True
Cajun/Creole,CUI,40,Cajun,Cajun,False
Cajun/Creole,CUI,41,Creole,Creole,False
Cambodian,CUI,30060,,Cambodian,False
Cantonese,CUI,83,Cantonese,Cantonese,False
Caribbean,CUI,35,Caribbean,Caribbean,False
Catalan,CUI,30062,,Catalan,False
Chinese,CUI,11,Chinese,Chinese,True
Croatian,CUI,30063,,Croatian,False
Dutch,CUI,30064,,Dutch,False
European,CUI,17,European,European,True
French,CUI,2,French,French,True
German,CUI,24,German,German,True
Greek,CUI,9,Greek,Greek,False
Grill/BBQ,CUI,39,Barbeque,Barbeque,False
Grill/BBQ,CUI,74,Grill,Grill,False
Hungarian,CUI,90,Hungarian,Hungarian,False
Indian,CUI,5,Indian,Indian,True
Indonesian,CUI,73,Indonesian,Indonesian,False
International,CUI,49,International,International,False
Irish,CUI,29,Irish,Irish,False
Italian,CUI,3,Italian,Italian,False
Japanese,CUI,14,Japanese,Japanese,False
Korean,CUI,42,Korean,Korean,True
Latin American,CUI,43,Latin American,Latin American,False
Local,CUI,104,Locally Inspired,Locally Inspired,False
Malaysian,CUI,117,Malaysian,Malaysian,False
Mediterranean,CUI,51,Mediterranean,Mediterranean,False
Mexican,CUI,8,Mexican,Mexican,True
Middle Eastern,CUI,13,Middle Eastern,Middle Eastern,False
Moroccan,CUI,15,Moroccan,Moroccan,False
Nepalese,CUI,30065,,Nepalese,False
Peruvian,CUI,121,Peruvian,Peruvian,False
Pizza,CUI,53,Pizza,Pizza,True
Polish,CUI,76,Polish,Polish,False
Portuguese,CUI,80,Portuguese,Portuguese,False
Russian,CUI,23,Russian,Russian,False
Scottish,CUI,30,Scottish,Scottish,False
Seafood,CUI,4,Seafood,Seafood,False
Singaporean,CUI,30066,,Singaporean,True
South African,CUI,30061,,South African,False
Spanish,CUI,19,Spanish,Spanish,False
Steakhouse,CUI,44,Steak houses,Steak houses,False
Sushi,CUI,98,Sushi,Sushi,False
Szechuan,CUI,106,Szechwan,Szechwan,True
Tex-Mex,CUI,26,TexMex,TexMex,False
Thai,CUI,10,Thai,Thai,False
Turkish,CUI,22,Turkish,Turkish,False
Vietnamese,CUI,12,Vietnamese,Vietnamese,False
