provider_cuisine_code,provider_cuisine_code_name,code,code_value,code_name,friendly_name,is_popular
1,Afghan,CUI,21,Afghan,Afghan,
2,African,CUI,78,African,African,
4,American,CUI,1,American,American,
6,Argentinian,CUI,33,Argentinean,Argentinian,
8,Asian,CUI,6,Asian,Asian,
9,Australian,CUI,82,Australian,Australian,
10,Austrian,CUI,66,Austrian,Austrian,
13,Barbecue,CUI,39,Barbeque,Barbecue,
14,Bavarian,CUI,61,Bavarian,Bavarian,
15,Belgian,CUI,79,Belgian,Belgian,
16,Brazilian,CUI,34,Brazilian,Brazilian,
19,Burger,CUI,89,Hamburgers,Burger,
20,Burmese,CUI,110,Burmese,Burmese,
21,Cajun,CUI,40,Cajun,Cajun,
23,Canadian,CUI,75,Canadian,Canadian,
24,Cantonese,CUI,83,Cantonese,Cantonese,
25,Caribbean,CUI,35,Caribbean,Caribbean,
27,Central American,CUI,43,Latin American,Central American,
30,Chinese,CUI,11,Chinese,Chinese,
34,Cuban,CUI,85,Cuban,Cuban,
39,Eastern European,CUI,113,East European,Eastern European,
41,Egyptian,CUI,114,Egyptian,Egyptian,
42,Eritrean,CUI,109,Eritrean,Eritrean,
43,Ethiopian,CUI,18,Ethiopian,Ethiopian,
45,European,CUI,17,European,European,
48,French,CUI,2,French,French,
51,Fusion,CUI,87,Fusion,Fusion,
53,German,CUI,24,German,German,
54,Greek,CUI,9,Greek,Greek,
55,Hawaiian,CUI,28,Hawaiian,Hawaiian,
57,Hungarian,CUI,90,Hungarian,Hungarian,
58,Icelandic,CUI,91,Icelandic,Icelandic,
59,Indian,CUI,5,Indian,Indian,
60,Indonesian,CUI,73,Indonesian,Indonesian,
61,International,CUI,49,International,International,
62,Iranian,CUI,71,Iranian,Iranian,
64,Irish,CUI,29,Irish,Irish,
66,Italian,CUI,3,Italian,Italian,
68,Japanese,CUI,14,Japanese,Japanese,
69,Korean,CUI,42,Korean,Korean,
71,Latin American,CUI,43,Latin American,Latin American,
72,Lebanese,CUI,32,Lebanese,Lebanese,
73,Local produce,CUI,104,Locally Inspired,Local produce,
74,Malaysian,CUI,117,Malaysian,Malaysian,
77,Mediterranean,CUI,51,Mediterranean,Mediterranean,
78,Mexican,CUI,8,Mexican,Mexican,
80,Middle Eastern,CUI,13,Middle Eastern,Middle Eastern,
81,Moroccan,CUI,15,Moroccan,Moroccan,
85,Nordic,CUI,119,Nordic,Nordic,
89,Pacific Rim,CUI,69,Pacific Rim,Pacific Rim,
93,Peruvian,CUI,121,Peruvian,Peruvian,
94,Pizza,CUI,53,Pizza,Pizza,
95,Polish,CUI,76,Polish,Polish,
96,Polynesian,CUI,64,Polynesian,Polynesian,
97,Portuguese,CUI,80,Portuguese,Portuguese,
98,Pub food,CUI,60,Pub,Pub food,
99,Puerto Rican,CUI,96,Puerto Rican,Puerto Rican,
102,Russian,CUI,23,Russian,Russian,
104,Scandinavian,CUI,65,Scandinavian,Scandinavian,
105,Scottish,CUI,30,Scottish,Scottish,
106,Seafood,CUI,4,Seafood,Seafood,
110,South American,CUI,55,South American,South American,
112,Southeast Asian,CUI,122,South-East Asian,Southeast Asian,
113,Spanish,CUI,19,Spanish,Spanish,
115,Steakhouse,CUI,44,Steak houses,Steakhouse,
116,Surinamese,CUI,41,Creole,Surinamese,
